gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s),delta_x,delta_y,delta_z,delta_vx,delta_vy,delta_vz
-2.707003828047822695e+06,4.688701193451859057e+06,3.360423554733801633e+06,9.975062750650471877e-01,-3.039980093934496752e-02,-6.347666043785286927e-02,-9.285387829877436161e-01,4.481628811918199062e+00,-1.607006147084757686e+01,-4.724294992259636672e-02,-3.164004837010690047e-02,-8.279880797629582401e-02
-2.706989717149665579e+06,4.688697353526290506e+06,3.360424791353872977e+06,9.768305828334599150e-01,-1.777849280403651089e-02,4.545544642450499717e-02,1.411089815711602569e+01,-3.839925568550825119e+00,1.236620071344077587e+00,-2.067569223158727265e-02,1.262130813530845663e-02,1.089321068623578664e-01
-2.706999907777216285e+06,4.688697284915737808e+06,3.360439636098369490e+06,9.182330219584033948e-01,4.833870342881660398e-02,1.121708466918198976e-02,-1.019062755070626736e+01,-6.861055269837379456e-02,1.484474449651315808e+01,-5.859756087505652022e-02,6.611719623285311487e-02,-3.423836175532300741e-02
-2.707002428346786648e+06,4.688697713676059619e+06,3.360432301742347423e+06,1.043829538491241715e+00,-5.744450188747599745e-02,-8.656684595753230682e-02,-2.520569570362567902e+00,4.287603218108415604e-01,-7.334356022067368031e+00,1.255965165328383204e-01,-1.057832053162925945e-01,-9.778393062671429659e-02
-2.706990706357201096e+06,4.688697804059677757e+06,3.360424196215303615e+06,9.868113686651964755e-01,5.629265920848108840e-02,-5.466723533491266163e-02,1.172198958555236459e+01,9.038361813873052597e-02,-8.105527043808251619e+00,-5.701816982604523965e-02,1.137371610959570789e-01,3.189961062261964519e-02
-2.706994936011366546e+06,4.688697242057896219e+06,3.360430164684148971e+06,1.011964465497012577e+00,-4.154955156080537837e-02,3.090046186784366211e-02,-4.229654165450483561e+00,-5.620017815381288528e-01,5.968468845356255770e+00,2.515309683181610190e-02,-9.784221076928646676e-02,8.556769720275632374e-02
-2.706988181161248125e+06,4.688703309235949069e+06,3.360428425821164157e+06,1.047263464284651446e+00,-8.285141282380070749e-02,-3.532942027135812374e-02,6.754850118421018124e+00,6.067178052850067616e+00,-1.738862984813749790e+00,3.529899878763886889e-02,-4.130186126299532912e-02,-6.622988213920177891e-02
-2.706989950333492830e+06,4.688703215027790517e+06,3.360430603163648862e+06,1.014071236428779832e+00,-2.346048886402183828e-02,-2.491589364546308027e-02,-1.769172244705259800e+00,-9.420815855264663696e-02,2.177342484705150127e+00,-3.319222785587161439e-02,5.939092395977886574e-02,1.041352662589504346e-02
-2.706987919578766450e+06,4.688711253361960873e+06,3.360439512736533768e+06,1.019486932423413705e+00,1.149944966508018585e-01,3.585031201935683781e-02,2.030754726380109787e+00,8.038334170356392860e+00,8.909572884906083345e+00,5.415695994633873411e-03,1.384549855148236863e-01,6.076620566481991809e-02
-2.706986382300324272e+06,4.688696406132894568e+06,3.360435497163219843e+06,1.009070218970087529e+00,-5.866545476510701129e-02,3.304193072751038240e-02,1.537278442177921534e+00,-1.484722906630486250e+01,-4.015573313925415277e+00,-1.041671345332617626e-02,-1.736599514159088697e-01,-2.808381291846455408e-03
-2.706991162765354849e+06,4.688699328139229678e+06,3.360438539831226692e+06,9.852784438655792787e-01,9.963313171211703179e-02,-5.235132438528505155e-02,-4.780465030577033758e+00,2.922006335109472275e+00,3.042668006848543882e+00,-2.379177510450825039e-02,1.582985864772240570e-01,-8.539325511279544090e-02
